                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92049,                0.83242,                 1.2653,                0.73586,                0.78542,                0.80247,                0.57774,                 1.0104,                0.82927,                 1.4523,             0.00082925,             0.00082925,             0.00082925
                     36,                0.93867,                 0.8197,                 1.2776,                 0.7584,                0.76987,                0.79648,                0.57475,                 1.0058,                0.84818,                 1.4438,             0.00081688,             0.00081688,             0.00081688
                     37,                0.91832,                0.81566,                 1.2627,                0.77667,                0.72413,                 0.8028,                0.58438,                0.98874,                0.84216,                 1.4261,              0.0008045,              0.0008045,              0.0008045
                     38,                0.90291,                0.80487,                  1.255,                0.68785,                0.73302,                0.78014,                0.55931,                 1.0025,                0.92828,                 1.4449,             0.00079213,             0.00079213,             0.00079213
                     39,                0.90051,                0.80634,                 1.2575,                0.74971,                0.73458,                0.78262,                0.56808,                0.98791,                0.86936,                 1.4229,             0.00077975,             0.00077975,             0.00077975
                     40,                0.90382,                0.78637,                 1.2538,                  0.727,                0.77273,                0.79232,                0.57268,                 1.0042,                 0.8655,                 1.4456,             0.00076738,             0.00076738,             0.00076738
                     41,                0.90093,                0.78984,                 1.2617,                0.80313,                0.73228,                0.80337,                0.57792,                 1.0004,                0.79654,                 1.4447,               0.000755,               0.000755,               0.000755
                     42,                0.89317,                 0.7643,                 1.2514,                0.78964,                0.70509,                0.79087,                0.56941,                 1.0344,                0.85854,                 1.4688,             0.00074263,             0.00074263,             0.00074263
                     43,                0.89119,                0.76783,                 1.2557,                0.69185,                0.75384,                0.79057,                0.57461,                 1.0092,                0.83704,                 1.4433,             0.00073025,             0.00073025,             0.00073025
                     44,                0.88914,                0.75744,                 1.2436,                0.71533,                0.69509,                0.78013,                0.57636,                0.98584,                0.88045,                 1.4223,             0.00071788,             0.00071788,             0.00071788
                     45,                0.88664,                0.75349,                 1.2487,                0.78494,                0.76583,                0.81782,                 0.5902,                 1.0028,                0.81323,                 1.4356,              0.0007055,              0.0007055,              0.0007055
                     46,                0.88481,                0.74807,                 1.2498,                0.69762,                0.74109,                0.78603,                0.57106,                 1.0078,                0.88553,                 1.4436,             0.00069313,             0.00069313,             0.00069313
                     47,                0.87702,                0.72924,                 1.2433,                0.72819,                0.78705,                0.82606,                0.58084,                 0.9993,                0.81825,                 1.4396,             0.00068075,             0.00068075,             0.00068075
                     48,                0.87437,                0.73906,                 1.2395,                0.79809,                0.71505,                0.81703,                0.58566,                 1.0111,                0.82876,                 1.4493,             0.00066838,             0.00066838,             0.00066838
                     49,                0.86466,                0.71614,                 1.2371,                  0.776,                0.76492,                0.80002,                0.57812,                0.97904,                0.78909,                 1.4096,               0.000656,               0.000656,               0.000656
                     50,                 0.8589,                0.71836,                 1.2292,                0.74852,                0.77171,                0.80043,                0.58887,                0.98993,                0.81777,                 1.4331,             0.00064362,             0.00064362,             0.00064362
                     51,                0.86077,                0.71109,                 1.2266,                0.77629,                0.76116,                0.82229,                0.59092,                  1.002,                 0.7853,                 1.4461,             0.00063125,             0.00063125,             0.00063125
                     52,                0.85931,                0.70835,                  1.227,                0.81407,                0.71881,                0.81082,                0.59696,                0.98478,                0.79498,                 1.4261,             0.00061887,             0.00061887,             0.00061887
                     53,                0.85988,                0.70401,                 1.2349,                0.68128,                0.75989,                0.78982,                0.57654,                  1.004,                0.85347,                 1.4437,              0.0006065,              0.0006065,              0.0006065
                     54,                0.85028,                0.68672,                 1.2271,                 0.7872,                0.75405,                0.81609,                  0.599,                0.97648,                0.78205,                 1.4336,             0.00059413,             0.00059413,             0.00059413
                     55,                0.83885,                0.68147,                 1.2236,                0.76782,                0.70721,                0.79683,                0.58028,                  1.001,                0.82547,                 1.4509,             0.00058175,             0.00058175,             0.00058175
